year,einsatz,injured_officers,arrests_npd_kontra,arrests_walpurgisnacht,arrests_may1,turnout
1987,400,245,0,0,56,
1988,1500,53,0,0,134,
1989,1600,346,0,0,20,
1990,6000,230,0,0,140,12500
1991,4500,87,0,0,181,12667
1992,5000,127,0,0,294,13500
1993,4000,19,0,0,169,7750
1994,4000,34,0,0,139,900
1995,,100,0,133,26,2250
1996,4500,48,0,25,176,13000
1997,5000,7,0,59,266,11000
1998,5000,145,0,28,379,8417
1999,5000,139,0,6,127,15500
2000,6765,283,200,57,144,14833
2001,9000,166,0,40,616,7750
2002,5000,101,0,34,183,13500
2003,7500,178,0,51,185,10250
2004,8000,187,72,114,162,8500
2005,6150,32,0,70,123,500
2006,5101,66,0,72,107,50
2007,4724,90,0,119,115,8567
2008,4572,112,0,24,139,11300
2009,5761,479,0,57,289,8800
2010,7400,98,289,37,161,12550
2011,7400,75,0,58,103,11333
2012,7000,124,0,4,119,18500
2013,7000,54,0,20,74,11667
2014,6400,59,0,15,53,22000
2015,6554,41,0,8,45,25500
2016,6091,59,0,0,42,16750
2017,6000,32,0,0,114,15250
2018,5170,20,0,0,103,12700
2019,5500,39,0,0,150,10200
2020,5000,18,0,0,350,3000
2021,5600,93,0,0,354,14500
2022,5500,33,0,22,74,17000
2023,7100,19,0,13,58,16000
2024,5600,6,0,8,34,17267
2025,5800,13,0,3,70,26000
2026,5300,15,0,0,87,20500
